,Quarter,Tm,Detail,BAL,GNB
0,1.0,Colts,Willie Richardson 26 yard pass from Earl Morrall (Lou Michaels kick),7,0
1,1.0,Packers,Mike Mercer 45 yard field goal,7,3
2,2.0,Colts,Lou Michaels 37 yard field goal,10,3
3,3.0,Colts,Lou Michaels 15 yard field goal,13,3
4,3.0,Colts,Lou Michaels 15 yard field goal,16,3
