,Quarter,Tm,Detail,ATL,NYJ
0,2.0,Jets,Bruce Harper 78 yard rush (Pat Leahy kick),0,7
1,3.0,Jets,Scott Dierking 4 yard rush (Pat Leahy kick),0,14
2,3.0,Jets,Mike Augustyniak 3 yard rush (Pat Leahy kick),0,21
3,3.0,Falcons,Billy Johnson 15 yard pass from Steve Bartkowski (Mick Luckhurst kick),7,21
4,4.0,Falcons,William Andrews 25 yard pass from Steve Bartkowski (Mick Luckhurst kick),14,21
5,4.0,Falcons,Billy Johnson 71 yard punt return (Mick Luckhurst kick),21,21
6,4.0,Falcons,Mick Luckhurst 32 yard field goal,24,21
7,4.0,Falcons,Mick Luckhurst 40 yard field goal,27,21
