,Quarter,Tm,Detail,NYG,CLE
0,2.0,Giants,Ben Agajanian 32 yard field goal,3,0
1,2.0,Browns,Lou Groza 29 yard field goal,3,3
2,4.0,Browns,Lou Groza 47 yard field goal,3,6
