,Quarter,Time,Tm,Detail,ARI,NOR
0,1.0,,Cardinals,Greg Davis 25 yard field goal,3,0
1,2.0,,Cardinals,Greg Davis 25 yard field goal,6,0
2,2.0,,Saints,Brian Jones 11 yard blocked punt return (Doug Brien kick),6,7
3,3.0,,Cardinals,Rob Moore 20 yard pass from Kent Graham (Rob Moore pass from Kent Graham),14,7
4,4.0,,Cardinals,LeShon Johnson 56 yard rush (Greg Davis kick),21,7
5,4.0,1:22,Cardinals,LeShon Johnson 70 yard rush (Greg Davis kick),28,7
6,4.0,1:22,Saints,Haywood Jeffires 23 yard pass from Jim Everett (Doug Brien kick),28,14
