,Quarter,Tm,Detail,BUF,BAL
0,1.0,Bills,Haven Moses 4 yard pass from Dennis Shaw (Grant Guthrie kick),7,0
1,2.0,Bills,Marlin Briscoe 20 yard pass from Dennis Shaw (Grant Guthrie kick),14,0
2,2.0,Colts,John Mackey 25 yard pass from Johnny Unitas (Jim O'Brien kick),14,7
3,3.0,Colts,Eddie Hinton 16 yard rush (Jim O'Brien kick),14,14
4,4.0,Colts,Jim O'Brien 18 yard field goal,14,17
5,4.0,Bills,Grant Guthrie 36 yard field goal,17,17
