,Quarter,Time,Tm,Detail,PIT,BUF
0,1.0,9:40,Steelers,Hines Ward 12 yard pass from Kordell Stewart (Kris Brown kick),7,0
1,1.0,1:47,Bills,Sam Gash 2 yard pass from Doug Flutie (Steve Christie kick),7,7
2,2.0,14:13,Bills,Eric Moulds 49 yard pass from Doug Flutie (Steve Christie kick),7,14
3,2.0,4:31,Bills,Steve Christie 29 yard field goal,7,17
4,2.0,0:51,Steelers,Troy Edwards 17 yard pass from Kordell Stewart (Kris Brown kick),14,17
5,3.0,0:32,Bills,Jay Riemersma 8 yard pass from Doug Flutie (Steve Christie kick),14,24
6,4.0,2:44,Steelers,Jerome Bettis 1 yard rush (Kris Brown kick),21,24
