,Quarter,Tm,Detail,PIT,OAK
0,2.0,Steelers,Ron Shanklin 14 yard pass from Terry Hanratty (Roy Gerela kick),7,0
1,2.0,Raiders,George Blanda 40 yard field goal,7,3
2,3.0,Steelers,Franco Harris 1 yard rush (Roy Gerela kick),14,3
3,4.0,Steelers,Roy Gerela 17 yard field goal,17,3
4,4.0,Raiders,Fred Biletnikoff 27 yard pass from Daryle Lamonica,17,9
