,Quarter,Tm,Detail,MIN,CLE
0,1.0,Vikings,John Gilliam 29 yard pass from Fran Tarkenton (Fred Cox kick),7,0
1,2.0,Vikings,Chuck Foreman 1 yard rush (Fred Cox kick),14,0
2,2.0,Browns,Don Cockroft 38 yard field goal,14,3
3,2.0,Vikings,Chuck Foreman 13 yard pass from Fran Tarkenton (Fred Cox kick),21,3
4,3.0,Vikings,Fran Tarkenton 2 yard rush (Fred Cox kick),28,3
5,4.0,Vikings,Robert Miller 1 yard rush (Fred Cox kick),35,3
6,4.0,Browns,Reggie Rucker 26 yard pass from Willie Miller (Don Cockroft kick),35,10
7,4.0,Vikings,Jim Lash 33 yard pass from Bob Lee (Fred Cox kick),42,10
