,Quarter,Time,Tm,Detail,NOR,NYG
0,2.0,,Saints,Lorenzo Neal 1 yard rush (Doug Brien kick),7,0
1,3.0,,Giants,Brad Daluiso 30 yard field goal,7,3
2,4.0,,Saints,Doug Brien 51 yard field goal,10,3
3,4.0,,Saints,Mario Bates 22 yard rush (Doug Brien kick),17,3
