,Quarter,Tm,Detail,CLE,NOR
0,2.0,Browns,Leroy Kelly 4 yard pass from Bill Nelsen (Don Cockroft kick),7,0
1,2.0,Saints,Andy Livingston 1 yard rush (Tom Dempsey kick),7,7
2,2.0,Browns,Don Cockroft 28 yard field goal,10,7
3,2.0,Browns,Walter Johnson 12 yard defensive fumble return (Don Cockroft kick),17,7
4,2.0,Browns,Don Cockroft 30 yard field goal,20,7
5,2.0,Saints,Tom Dempsey 22 yard field goal,20,10
6,3.0,Saints,Tony Baker 1 yard rush (Tom Dempsey kick),20,17
7,4.0,Browns,Leroy Kelly 1 yard rush (Don Cockroft kick),27,17
