,Quarter,Tm,Detail,NOR,SFO
0,1.0,Saints,Wayne Wilson 10 yard pass from Ken Stabler (Toni Fritsch kick),7,0
1,2.0,49ers,Ray Wersching 40 yard field goal,7,3
2,2.0,Saints,Jimmy Rogers 2 yard rush,13,3
3,2.0,49ers,Ray Wersching 45 yard field goal,13,6
4,3.0,Saints,Toni Fritsch 27 yard field goal,16,6
5,3.0,Saints,George Rogers 1 yard rush (Toni Fritsch kick),23,6
6,4.0,49ers,Jeff Moore 12 yard pass from Joe Montana (Ray Wersching kick),23,13
7,4.0,49ers,Russ Francis 17 yard pass from Joe Montana (Ray Wersching kick),23,20
