,Quarter,Time,Tm,Detail,OAK,SEA
0,1.0,,Seahawks,Todd Peterson 21 yard field goal,0,3
1,2.0,,Raiders,James Jett 17 yard pass from Jeff Hostetler (Cole Ford kick),7,3
2,2.0,,Seahawks,Ronnie Williams 2 yard pass from Rick Mirer (Todd Peterson kick),7,10
3,2.0,,Raiders,Rick Cunningham 3 yard pass from Jeff Hostetler (Cole Ford kick),14,10
4,3.0,,Raiders,Cole Ford 47 yard field goal,17,10
5,3.0,,Seahawks,Todd Peterson 32 yard field goal,17,13
6,4.0,,Raiders,Derrick Fenner 1 yard rush (Cole Ford kick),24,13
7,4.0,,Seahawks,Chris Warren 2 yard rush (Chris Warren run),24,21
8,4.0,,Raiders,Cole Ford 26 yard field goal,27,21
