,Quarter,Tm,Detail,GNB,NOR
0,1.0,Packers,Steve Odom 93 yard kickoff return (Joe Danelo kick),7,0
1,1.0,Packers,Mike McCoy 19 yard defensive fumble return (Joe Danelo kick),14,0
2,2.0,Packers,"Safety, Toner tackled Blanchard in end zone",16,0
3,2.0,Saints,Mike Strachan 2 yard rush (Rich Szaro kick),16,7
4,3.0,Saints,Joel Parker 11 yard pass from Archie Manning (Rich Szaro kick),16,14
5,4.0,Saints,Rich Szaro 36 yard field goal,16,17
6,4.0,Packers,Joe Danelo 45 yard field goal,19,17
7,4.0,Saints,Rich Szaro 20 yard field goal,19,20
