,Quarter,Time,Tm,Detail,PHI,WAS
0,1.0,,Redskins,Skip Hicks 1 yard rush (Cary Blanchard kick),0,7
1,2.0,,Eagles,Chris Boniol 19 yard field goal,3,7
2,2.0,0:25,Redskins,Skip Hicks 1 yard rush (Cary Blanchard kick),3,14
3,3.0,0:25,Redskins,Albert Connell 56 yard pass from Trent Green (Cary Blanchard kick),3,21
4,4.0,0:25,Redskins,Skip Hicks 5 yard rush (Cary Blanchard kick),3,28
