,Quarter,Time,Tm,Detail,WAS,BUF
0,1.0,8:25,Bills,Cole Beasley 6 yard pass from Josh Allen (Stephen Hauschka kick),0,7
1,1.0,0:28,Bills,Stephen Hauschka 42 yard field goal,0,10
2,2.0,10:45,Redskins,Dustin Hopkins 29 yard field goal,3,10
3,2.0,4:52,Bills,Josh Allen 1 yard rush (Stephen Hauschka kick),3,17
4,2.0,0:36,Redskins,Dustin Hopkins 33 yard field goal,6,17
5,3.0,1:25,Redskins,Dustin Hopkins 39 yard field goal,9,17
6,4.0,2:26,Bills,Devin Singletary 2 yard rush (Stephen Hauschka kick),9,24
