,Quarter,Time,Tm,Detail,JAX,CIN
0,1.0,,Bengals,Ki-Jana Carter 1 yard rush (Doug Pelfrey kick),0,7
1,1.0,,Bengals,Tony McGee 9 yard pass from Boomer Esiason (Doug Pelfrey kick),0,14
2,1.0,,Jaguars,Pete Mitchell 24 yard pass from Mark Brunell (Mike Hollis kick),7,14
3,1.0,,Bengals,Corey Dillon 3 yard rush (Doug Pelfrey kick),7,21
4,2.0,,Bengals,Darnay Scott 11 yard pass from Boomer Esiason (Doug Pelfrey kick),7,28
5,2.0,,Jaguars,Mike Hollis 21 yard field goal,10,28
6,3.0,,Jaguars,Mike Hollis 35 yard field goal,13,28
7,3.0,,Jaguars,Natrone Means 5 yard rush (Mike Hollis kick),20,28
8,3.0,,Bengals,Doug Pelfrey 20 yard field goal,20,31
9,3.0,,Jaguars,Mike Hollis 29 yard field goal,23,31
10,4.0,,Jaguars,Mike Hollis 25 yard field goal,26,31
