,Quarter,Tm,Detail,NYG,FRN
0,1,Yellow Jackets,Herb Joesting 1 yard rush,0,6
1,3,Giants,Jack Hagerty 1 yard rush (Ossie Wiberg kick),7,6
2,4,Giants,Jack Hagerty 4 yard rush (Ossie Wiberg kick),14,6
