,Quarter,Tm,Detail,CIN,KAN
0,1.0,Bengals,Archie Griffin 77 yard rush (Chris Bahr kick),7,0
1,1.0,Bengals,Boobie Clark 18 yard rush (Chris Bahr kick),14,0
2,2.0,Chiefs,Tommy Reamon 1 yard rush (Jan Stenerud kick),14,7
3,3.0,Chiefs,Tommy Reamon 1 yard rush (Jan Stenerud kick),14,14
4,3.0,Bengals,Stan Fritts 1 yard rush,20,14
5,4.0,Chiefs,Jan Stenerud 24 yard field goal,20,17
6,4.0,Chiefs,Walter White 34 yard pass from Mike Livingston (Jan Stenerud kick),20,24
7,4.0,Bengals,Tony Davis 1 yard rush (Chris Bahr kick),27,24
