,Quarter,Time,Tm,Detail,NWE,IND
0,1.0,6:17,Patriots,J.R. Redmond 19 yard pass from Drew Bledsoe (Adam Vinatieri kick),7,0
1,1.0,2:38,Colts,Marvin Harrison 51 yard pass from Peyton Manning (Mike Vanderjagt kick),7,7
2,2.0,10:26,Patriots,Adam Vinatieri 27 yard field goal,10,7
3,2.0,0:03,Patriots,Adam Vinatieri 26 yard field goal,13,7
4,3.0,6:51,Patriots,Adam Vinatieri 28 yard field goal,16,7
5,3.0,6:33,Colts,Marvin Harrison 78 yard pass from Peyton Manning (Mike Vanderjagt kick),16,14
6,3.0,2:27,Patriots,Drew Bledsoe 1 yard rush (Adam Vinatieri kick),23,14
7,4.0,6:16,Colts,Edgerrin James 1 yard pass from Peyton Manning (Mike Vanderjagt kick),23,21
8,4.0,2:09,Colts,Edgerrin James 3 yard rush (pass failed),23,27
9,4.0,0:18,Colts,Mike Vanderjagt 36 yard field goal,23,30
