,Quarter,Tm,Detail,BUF,NWE
0,2,Bills,Scott Norwood 47 yard field goal,3,0
1,3,Patriots,Irving Fryar 16 yard pass from Steve Grogan (Tony Franklin kick),3,7
2,4,Patriots,Raymond Clayborn 27 yard interception return (Tony Franklin kick),3,14
