,Quarter,Tm,Detail,PIT,DET
0,1.0,Steelers,Jerry Shipkey 1 yard rush (Joe Glamp kick),7,0
1,2.0,Lions,Bill Dudley 19 yard pass from Fred Enke (Merv Pregulman kick),7,7
2,2.0,Lions,Merv Pregulman 33 yard field goal,7,10
3,4.0,Lions,Bill Dudley 28 yard fumble return (Merv Pregulman kick),7,17
4,4.0,Steelers,George Papach 2 yard rush (Joe Glamp kick),14,17
