,Quarter,Tm,Detail,NYG,STL
0,1.0,Cardinals,Mel Gray 8 yard pass from Jim Hart (Jim Bakken kick),0,7
1,2.0,Cardinals,Jim Bakken 48 yard field goal,0,10
2,2.0,Cardinals,Terry Metcalf 18 yard rush (Jim Bakken kick),0,17
3,2.0,Cardinals,Jim Otis 10 yard rush,0,23
4,3.0,Giants,Larry Watkins 10 yard rush (George Hunt kick),7,23
5,4.0,Cardinals,Jim Bakken 28 yard field goal,7,26
6,4.0,Giants,Larry Watkins 2 yard rush (George Hunt kick),14,26
