,Quarter,Tm,Detail,GNB,BAL
0,1.0,Packers,Billy Howton 40 yard pass from Tobin Rote (Fred Cone kick),7,0
1,1.0,Colts,Buddy Young 49 yard pass from Fred Enke (Buck McPhail kick),7,7
2,2.0,Colts,John Huzvar 36 yard rush (Buck McPhail kick),7,14
3,2.0,Packers,Billy Howton 13 yard pass from Babe Parilli (Fred Cone kick),14,14
4,2.0,Packers,Fred Cone 3 yard rush (Fred Cone kick),21,14
5,3.0,Colts,Bert Rechichar 42 yard field goal,21,17
6,3.0,Packers,J.R. Boone 9 yard pass from Tobin Rote (Fred Cone kick),28,17
7,4.0,Packers,Breezy Reid 38 yard rush (Fred Cone kick),35,17
8,4.0,Colts,Carl Taseff 71 yard punt return (Buck McPhail kick),35,24
