,Quarter,Tm,Detail,HOU,BUF
0,1.0,Bills,Don Beebe 34 yard pass from Jim Kelly (Steve Christie kick),0,7
1,1.0,Oilers,Leonard Harris 17 yard pass from Warren Moon (Al Del Greco kick),7,7
2,2.0,Bills,Andre Reed 24 yard pass from Jim Kelly (Steve Christie kick),7,14
3,2.0,Bills,Andre Reed 39 yard pass from Jim Kelly (Steve Christie kick),7,21
4,2.0,Bills,Thurman Thomas 7 yard rush (Steve Christie kick),7,28
5,4.0,Bills,Kenneth Davis 3 yard rush (Steve Christie kick),7,35
