,Quarter,Time,Tm,Detail,TAM,CHI
0,1,7:42,Bears,Desmond Clark 24 yard pass from Rex Grossman (Robbie Gould kick),0,7
1,2,8:19,Buccaneers,Matt Bryant 45 yard field goal,3,7
2,2,3:58,Bears,Thomas Jones 5 yard rush (Robbie Gould kick),3,14
3,2,0:23,Bears,Desmond Clark 12 yard pass from Rex Grossman (Robbie Gould kick),3,21
4,3,5:22,Bears,Robbie Gould 38 yard field goal,3,24
5,3,0:25,Buccaneers,Mike Alstott 14 yard rush (Matt Bryant kick),10,24
6,4,14:13,Buccaneers,Alex Smith 9 yard pass from Tim Rattay (Matt Bryant kick),17,24
7,4,9:23,Bears,Cedric Benson 4 yard rush (Robbie Gould kick),17,31
8,4,6:13,Buccaneers,Joey Galloway 64 yard pass from Tim Rattay (Matt Bryant kick),24,31
9,4,3:44,Buccaneers,Ike Hilliard 44 yard pass from Tim Rattay (Matt Bryant kick),31,31
10,OT,3:37,Bears,Robbie Gould 25 yard field goal,31,34
