,Quarter,Tm,Detail,DUL,MIN
0,3,Kelleys,Dick O'Donnell unknown yard pass from Ken Harris (Joey Sternaman kick),7,0
1,4,Kelleys,Joey Sternaman 20 yard field goal,10,0
