,Quarter,Time,Tm,Detail,IND,LAC
0,1,3:00,Chargers,Austin Ekeler 1 yard pass from Philip Rivers (Ty Long kick),0,7
1,2,10:06,Colts,T.Y. Hilton 4 yard pass from Jacoby Brissett (Adam Vinatieri kick failed),6,7
2,2,6:06,Chargers,Keenan Allen 28 yard pass from Philip Rivers (Ty Long kick),6,14
3,2,1:06,Chargers,Ty Long 40 yard field goal,6,17
4,3,11:19,Colts,Adam Vinatieri 44 yard field goal,9,17
5,3,8:38,Chargers,Austin Ekeler 55 yard pass from Philip Rivers (Ty Long kick),9,24
6,3,7:51,Colts,Marlon Mack 63 yard rush (Adam Vinatieri kick),16,24
7,4,0:48,Colts,T.Y. Hilton 19 yard pass from Jacoby Brissett (Marlon Mack run),24,24
8,OT,5:05,Chargers,Austin Ekeler 7 yard rush,24,30
