,Quarter,Tm,Detail,BAL,KAN
0,1.0,Colts,Ron Lee 1 yard rush (Toni Linhart kick),7,0
1,1.0,Colts,Don McCauley 2 yard rush (Toni Linhart kick),14,0
2,2.0,Chiefs,John Brockington 1 yard rush,14,6
3,3.0,Colts,Toni Linhart 44 yard field goal,17,6
