,Quarter,Tm,Detail,CHI,SFO
0,1,49ers,Bruce Gossett 9 yard field goal,0,3
1,2,49ers,Bruce Gossett 15 yard field goal,0,6
2,4,49ers,Gene Washington 12 yard pass from John Brodie (Bruce Gossett kick),0,13
