,Quarter,Tm,Detail,RAM,NOR
0,1.0,Saints,Sam Mills 30 yard defensive fumble return (Morten Andersen kick),0,7
1,1.0,Rams,Tony Zendejas 22 yard field goal,3,7
2,1.0,Rams,Jerome Bettis 71 yard rush (Tony Zendejas kick),10,7
3,2.0,Saints,Morten Andersen 18 yard field goal,10,10
4,2.0,Saints,Morten Andersen 32 yard field goal,10,13
5,3.0,Rams,Deral Boykin 6 yard special teams fumble return (Tony Zendejas kick),17,13
6,3.0,Rams,Pat Carter 11 yard pass from T.J. Rubley,23,13
7,4.0,Saints,Dalton Hilliard 2 yard rush (Morten Andersen kick),23,20
