,Quarter,Time,Tm,Detail,TAM,STL
0,1.0,6:31,Buccaneers,Bobby Rainey 1 yard rush (Rian Lindell kick),7,0
1,2.0,13:48,Rams,Zac Stacy 1 yard rush (Greg Zuerlein kick),7,7
2,2.0,12:04,Rams,Stedman Bailey 27 yard rush (Greg Zuerlein kick),7,14
3,2.0,0:00,Buccaneers,Rian Lindell 35 yard field goal,10,14
4,3.0,9:23,Buccaneers,Rian Lindell 32 yard field goal,13,14
5,3.0,5:08,Rams,Greg Zuerlein 54 yard field goal,13,17
6,4.0,11:15,Rams,Greg Zuerlein 25 yard field goal,13,20
7,4.0,3:15,Rams,Greg Zuerlein 48 yard field goal,13,23
