,Quarter,Time,Tm,Detail,TAM,PHI
0,1.0,9:20,Buccaneers,Bert Emanuel 19 yard pass from Trent Dilfer (Martin Gramatica kick),7,0
1,1.0,5:29,Eagles,Norm Johnson 39 yard field goal,7,3
2,1.0,3:57,Eagles,"Safety, snap went out of end zone",7,5
3,2.0,8:52,Buccaneers,Martin Gramatica 51 yard field goal,10,5
4,2.0,5:05,Buccaneers,Martin Gramatica 24 yard field goal,13,5
5,3.0,6:25,Buccaneers,Mike Alstott 17 yard pass from Trent Dilfer (run failed),19,5
