,Quarter,Tm,Detail,STL,WAS
0,1.0,Cardinals,Jim Bakken 34 yard field goal,3,0
1,1.0,Redskins,Curt Knight 37 yard field goal,3,3
2,1.0,Redskins,Larry Brown 12 yard rush (Curt Knight kick),3,10
3,2.0,Redskins,Charley Taylor 11 yard pass from Sonny Jurgensen (Curt Knight kick),3,17
4,2.0,Redskins,Curt Knight 28 yard field goal,3,20
5,2.0,Redskins,Curt Knight 8 yard field goal,3,23
6,3.0,Cardinals,Johnny Roland 6 yard rush (Jim Bakken kick),10,23
7,4.0,Redskins,Curt Knight 28 yard field goal,10,26
8,4.0,Cardinals,Johnny Roland 1 yard rush (Jim Bakken kick),17,26
9,4.0,Redskins,Jerry Smith 8 yard pass from Sonny Jurgensen (Curt Knight kick),17,33
