,Quarter,Time,Tm,Detail,IND,NYJ
0,1.0,10:23,Colts,Dwayne Allen 7 yard pass from Andrew Luck (Adam Vinatieri kick),7,0
1,1.0,7:45,Colts,Dwayne Allen 21 yard pass from Andrew Luck (Adam Vinatieri kick),14,0
2,2.0,10:31,Jets,Nick Folk 38 yard field goal,14,3
3,2.0,8:16,Colts,Adam Vinatieri 53 yard field goal,17,3
4,2.0,1:18,Colts,Dwayne Allen 23 yard pass from Andrew Luck (Adam Vinatieri kick),24,3
5,3.0,8:54,Colts,Donte Moncrief 3 yard pass from Andrew Luck (Adam Vinatieri kick),31,3
6,3.0,1:08,Colts,Adam Vinatieri 36 yard field goal,34,3
7,4.0,14:54,Colts,Robert Turbin 5 yard rush (Adam Vinatieri kick),41,3
8,4.0,11:19,Jets,Robby Anderson 40 yard pass from Bryce Petty (Nick Folk kick),41,10
