,Quarter,Tm,Detail,PIT,GNB
0,1.0,Packers,Breezy Reid 69 yard rush (Fred Cone kick),0,7
1,1.0,Steelers,Johnny Lattner 14 yard pass from Jim Finks (Ed Kissell kick),7,7
2,2.0,Packers,Billy Howton 44 yard pass from Tobin Rote (Fred Cone kick),7,14
3,2.0,Packers,Fred Cone 45 yard field goal,7,17
4,2.0,Steelers,Elbie Nickel 2 yard pass from Jim Finks (Ed Kissell kick),14,17
5,3.0,Packers,Fred Cone 32 yard field goal,14,20
6,4.0,Steelers,Ray Mathews 37 yard pass from Jim Finks (Paul Held kick),21,20
