,Quarter,Time,Tm,Detail,NOR,CHI
0,1.0,7:38,Saints,Garrett Hartley 47 yard field goal,3,0
1,1.0,6:00,Saints,Garrett Hartley 19 yard field goal,6,0
2,2.0,5:57,Saints,Pierre Thomas 2 yard pass from Drew Brees (Garrett Hartley kick),13,0
3,2.0,2:41,Bears,Alshon Jeffery 3 yard pass from Jay Cutler (Robbie Gould kick),13,7
4,2.0,0:23,Saints,Pierre Thomas 25 yard pass from Drew Brees (Garrett Hartley kick),20,7
5,3.0,8:03,Saints,Garrett Hartley 36 yard field goal,23,7
6,3.0,4:56,Bears,Robbie Gould 27 yard field goal,23,10
7,4.0,3:01,Saints,Garrett Hartley 48 yard field goal,26,10
8,4.0,2:11,Bears,Brandon Marshall 2 yard pass from Jay Cutler (Matt Forte run),26,18
