,Quarter,Tm,Detail,DET,PHI
0,1.0,Eagles,Bobby Walston 27 yard field goal,0,3
1,2.0,Lions,Steve Junker 8 yard pass from Bobby Layne (Bobby Layne kick),7,3
2,2.0,Eagles,Al Dorow 1 yard rush,7,9
3,2.0,Lions,Jim Doran 43 yard pass from Bobby Layne (Bobby Layne kick),14,9
4,2.0,Lions,Howard Cassady 11 yard pass from Bobby Layne (Bobby Layne kick),21,9
5,3.0,Lions,Bobby Layne 22 yard field goal,24,9
6,4.0,Eagles,Sonny Jurgensen 1 yard rush (Bobby Walston kick),24,16
7,4.0,Lions,Bobby Layne 11 yard field goal,27,16
