,Quarter,Tm,Detail,KAN,MIA
0,1.0,Chiefs,Nick Lowery 45 yard field goal,3,0
1,2.0,Chiefs,Nick Lowery 46 yard field goal,6,0
2,2.0,Dolphins,Andra Franklin 1 yard rush (Uwe von Schamann kick),6,7
3,3.0,Dolphins,Dan Johnson 1 yard pass from David Woodley (Uwe von Schamann kick),6,14
