,Quarter,Tm,Detail,MIN,PIT
0,2.0,Steelers,Gary Anderson 23 yard field goal,0,3
1,4.0,Vikings,Fuad Reveiz 38 yard field goal,3,3
2,4.0,Vikings,Fuad Reveiz 36 yard field goal,6,3
