,Quarter,Tm,Detail,CLE,NOR
0,2.0,Saints,Billy Kilmer 1 yard rush (Charlie Durkee kick),0,7
1,2.0,Browns,Leroy Kelly 30 yard pass from Frank Ryan (Don Cockroft kick),7,7
2,2.0,Browns,Don Cockroft 22 yard field goal,10,7
3,2.0,Saints,Charlie Durkee 40 yard field goal,10,10
4,4.0,Browns,Leroy Kelly 8 yard rush (Don Cockroft kick),17,10
5,4.0,Browns,Bill Glass 17 yard interception return (Don Cockroft kick),24,10
