,Quarter,Tm,Detail,RAM,NOR
0,1.0,Saints,Floyd Turner 26 yard pass from Steve Walsh (Morten Andersen kick),0,7
1,2.0,Rams,Mike Lansford 24 yard field goal,3,7
2,2.0,Saints,Craig Heyward 1 yard rush (Morten Andersen kick),3,14
3,4.0,Rams,Flipper Anderson 47 yard pass from Jim Everett (Mike Lansford kick),10,14
4,4.0,Saints,Morten Andersen 41 yard field goal,10,17
5,4.0,Rams,Robert Delpino 1 yard pass from Jim Everett (Mike Lansford kick),17,17
6,4.0,Saints,Morten Andersen 24 yard field goal,17,20
