,Quarter,Tm,Detail,PHI,NYG
0,1.0,Giants,Frank Gifford 8 yard rush (Randy Clay kick),0,7
1,1.0,Eagles,Frank Ziegler 2 yard rush (Bobby Walston kick),7,7
2,2.0,Giants,Kyle Rote 1 yard rush (Randy Clay kick),7,14
3,2.0,Eagles,Jerry Williams 33 yard pass from Bobby Thomason (Bobby Walston kick),14,14
4,3.0,Giants,Kyle Rote 30 yard pass from Charlie Conerly (Randy Clay kick),14,21
5,3.0,Eagles,Don Johnson 21 yard pass from Bobby Thomason (Bobby Walston kick),21,21
6,3.0,Giants,Kyle Rote 25 yard pass from Charlie Conerly,21,27
7,3.0,Eagles,Don Johnson 63 yard rush (Bobby Walston kick),28,27
8,4.0,Giants,Eddie Price 31 yard pass from Charlie Conerly (Randy Clay kick),28,34
9,4.0,Giants,Randy Clay 17 yard field goal,28,37
