,Quarter,Tm,Detail,CHI,DET
0,2.0,Bears,Willie Galimore 8 yard pass from Ed Brown (John Aveni kick),7,0
1,2.0,Bears,Rick Casares 14 yard rush (John Aveni kick),14,0
2,2.0,Bears,John Aveni 39 yard field goal,17,0
3,4.0,Bears,Ed Brown 1 yard rush (John Aveni kick),24,0
4,4.0,Lions,John Henry Johnson 1 yard rush (Gerry Perry kick),24,7
5,4.0,Lions,Nick Pietrosante 1 yard rush (Gerry Perry kick),24,14
