,Quarter,Tm,Detail,RAM,SFO
0,1.0,Rams,Mike Lansford 41 yard field goal,3,0
1,1.0,49ers,Freddie Solomon 47 yard pass from Joe Montana (Ray Wersching kick),3,7
2,1.0,49ers,Earl Cooper 1 yard pass from Joe Montana (Ray Wersching kick),3,14
3,2.0,49ers,Ray Wersching 38 yard field goal,3,17
4,2.0,Rams,Eric Dickerson 4 yard rush (Mike Lansford kick),10,17
5,2.0,Rams,Mike Lansford 28 yard field goal,13,17
6,4.0,Rams,Mike Lansford 42 yard field goal,16,17
7,4.0,49ers,"Safety, Johnson tackled Kemp in end zone",16,19
