,Quarter,Tm,Detail,SFO,NOR
0,1.0,49ers,Charle Young 13 yard pass from Joe Montana (Ray Wersching kick),7,0
1,1.0,Saints,George Rogers 6 yard rush (Benny Ricardo kick),7,7
2,1.0,Saints,George Rogers 5 yard rush (Benny Ricardo kick),7,14
3,2.0,49ers,Freddie Solomon 2 yard pass from Joe Montana (Ray Wersching kick),14,14
4,3.0,Saints,Benny Ricardo 27 yard field goal,14,17
5,4.0,49ers,Johnny Davis 3 yard rush (Ray Wersching kick),21,17
