,Quarter,Tm,Detail,SDG,CIN
0,1.0,Bengals,Ken Anderson 2 yard rush (Dave Green kick),0,7
1,1.0,Bengals,Stan Fritts 6 yard pass from Ken Anderson (Dave Green kick),0,14
2,1.0,Bengals,Stan Fritts 1 yard rush,0,20
3,1.0,Bengals,Isaac Curtis 52 yard pass from Ken Anderson (Dave Green kick),0,27
4,2.0,Bengals,Boobie Clark 1 yard rush (Dave Green kick),0,34
5,2.0,Chargers,Ray Wersching 43 yard field goal,3,34
6,2.0,Chargers,Rickey Young 2 yard pass from Jesse Freitas (Ray Wersching kick),10,34
7,2.0,Bengals,Lenvil Elliott 14 yard pass from Ken Anderson (Dave Green kick),10,41
8,3.0,Chargers,Bo Matthews 3 yard rush (Ray Wersching kick),17,41
9,4.0,Bengals,John Reaves 1 yard rush,17,47
