,Quarter,Tm,Detail,NOR,CHI
0,1.0,Bears,Bob Wallace 25 yard pass from Kent Nix (Mac Percival kick),0,7
1,2.0,Saints,James Ford 1 yard rush (Charlie Durkee kick),7,7
2,2.0,Bears,Dick Gordon 35 yard pass from Kent Nix (Mac Percival kick),7,14
3,2.0,Bears,George Farmer 23 yard pass from Don Shy (Mac Percival kick),7,21
4,2.0,Bears,Don Shy 1 yard rush (Mac Percival kick),7,28
5,2.0,Bears,George Seals defensive fumble recovery in end zone (Mac Percival kick),7,35
6,4.0,Saints,Hoyle Granger 11 yard rush (Charlie Durkee kick),14,35
