,Quarter,Tm,Detail,CLE,HOU
0,1.0,Oilers,Tony Zendejas 50 yard field goal,0,3
1,2.0,Oilers,Tony Zendejas 27 yard field goal,0,6
2,3.0,Browns,Clarence Weathers 68 yard pass from Bernie Kosar (Matt Bahr kick),7,6
3,3.0,Browns,Kevin Mack 4 yard rush (Matt Bahr kick),14,6
4,4.0,Browns,Earnest Byner 5 yard rush (Matt Bahr kick),21,6
