,Quarter,Tm,Detail,RAM,BAL
0,1.0,Colts,Lenny Moore 23 yard rush (Steve Myhra kick),0,7
1,1.0,Colts,Lenny Moore 3 yard pass from Johnny Unitas (Steve Myhra kick),0,14
2,2.0,Rams,Leon Clarke 29 yard pass from Norm Van Brocklin (Paige Cothren kick),7,14
3,3.0,Rams,Tommy Wilson 11 yard pass from Norm Van Brocklin (Paige Cothren kick),14,14
4,3.0,Colts,Steve Myhra 34 yard field goal,14,17
5,4.0,Colts,Raymond Berry 10 yard pass from Johnny Unitas (Steve Myhra kick),14,24
6,4.0,Colts,Lenny Moore 50 yard pass from Johnny Unitas (Steve Myhra kick),14,31
