,Quarter,Time,Tm,Detail,JAX,NYG
0,1.0,10:12,Jaguars,Josh Lambo 39 yard field goal,3,0
1,1.0,0:23,Giants,Aldrick Rosas 27 yard field goal,3,3
2,2.0,7:19,Jaguars,Josh Lambo 39 yard field goal,6,3
3,2.0,2:42,Jaguars,T.J. Yeldon 1 yard pass from Blake Bortles (Josh Lambo kick),13,3
4,2.0,0:04,Giants,Aldrick Rosas 31 yard field goal,13,6
5,3.0,9:18,Giants,Aldrick Rosas 44 yard field goal,13,9
6,4.0,11:24,Jaguars,Myles Jack 32 yard interception return (Josh Lambo kick),20,9
7,4.0,10:39,Giants,Saquon Barkley 68 yard rush,20,15
