,Quarter,Tm,Detail,BKN,PIT
0,1,Dodgers,Pug Manders 1 yard rush (Ace Parker kick),7,0
1,2,Steelers,Armand Niccolai 21 yard field goal,7,3
2,3,Dodgers,Ralph Kercheval 27 yard field goal,10,3
