,Quarter,Tm,Detail,DET,TAM
0,1.0,Lions,Eddie Murray 28 yard field goal,3,0
1,2.0,Buccaneers,Ricky Reynolds 68 yard interception return (Donald Igwebuike kick),3,7
2,2.0,Buccaneers,Donald Igwebuike 27 yard field goal,3,10
3,3.0,Lions,Robert Clark 33 yard pass from Rodney Peete (Eddie Murray kick),10,10
4,3.0,Buccaneers,Donald Igwebuike 34 yard field goal,10,13
5,4.0,Buccaneers,Donald Igwebuike 33 yard field goal,10,16
6,4.0,Lions,Rodney Peete 5 yard rush (Eddie Murray kick),17,16
