,Quarter,Tm,Detail,MIN,SFO
0,1.0,49ers,Wilbur Jackson 2 yard rush (Steve Mike-Mayer kick),0,7
1,2.0,49ers,Steve Mike-Mayer 45 yard field goal,0,10
2,2.0,Vikings,Sammy White 18 yard pass from Fran Tarkenton (Fred Cox kick),7,10
3,2.0,Vikings,Ahmad Rashad 8 yard pass from Fran Tarkenton,13,10
4,2.0,49ers,Scott Bull 1 yard rush (Steve Mike-Mayer kick),13,17
5,3.0,Vikings,Fred Cox 37 yard field goal,16,17
6,4.0,49ers,Steve Mike-Mayer 38 yard field goal,16,20
