,Quarter,Time,Tm,Detail,CIN,CLE
0,2.0,6:49,Browns,Frank Hartley 1 yard pass from Vinny Testaverde (Matt Stover kick),0,7
1,2.0,6:49,Bengals,Doug Pelfrey 30 yard field goal,3,7
2,2.0,6:49,Browns,Matt Stover 37 yard field goal,3,10
3,2.0,6:49,Browns,Keenan McCardell 16 yard pass from Vinny Testaverde (Matt Stover kick),3,17
4,3.0,6:49,Browns,Matt Stover 42 yard field goal,3,20
5,3.0,6:49,Browns,Matt Stover 19 yard field goal,3,23
6,4.0,6:49,Browns,Matt Stover 35 yard field goal,3,26
7,4.0,6:49,Bengals,Eric Bieniemy 1 yard rush (Doug Pelfrey kick),10,26
