,Quarter,Tm,Detail,CRD,PIT
0,1.0,Steelers,Gary Kerkorian 23 yard field goal,0,3
1,1.0,Steelers,Ed Modzelewski 6 yard rush (Gary Kerkorian kick),0,10
2,2.0,Cardinals,Don Paul 9 yard pass from Don Panciera (Joe Geri kick),7,10
3,4.0,Steelers,Jim Finks 1 yard rush (Gary Kerkorian kick),7,17
4,4.0,Cardinals,Billy Cross 38 yard pass from Don Panciera (Joe Geri kick),14,17
