,Quarter,Tm,Detail,CIN,CLE
0,1.0,Bengals,Lenvil Elliott 19 yard pass from Ken Anderson (Chris Bahr kick),7,0
1,1.0,Browns,Cleo Miller 6 yard rush (Don Cockroft kick),7,7
2,1.0,Bengals,Willie Shelby 97 yard kickoff return (Chris Bahr kick),14,7
3,1.0,Bengals,Isaac Curtis 44 yard pass from Ken Anderson (Chris Bahr kick),21,7
4,2.0,Bengals,Chris Bahr 40 yard field goal,24,7
5,2.0,Browns,Don Cockroft 33 yard field goal,24,10
6,2.0,Bengals,Isaac Curtis 7 yard pass from Ken Anderson (Chris Bahr kick),31,10
7,2.0,Browns,Reggie Rucker 26 yard pass from Brian Sipe (Brian Sipe run),31,17
8,3.0,Browns,Greg Pruitt 4 yard pass from Brian Sipe (Don Cockroft kick),31,24
9,4.0,Bengals,Lenvil Elliott 29 yard pass from Ken Anderson (Chris Bahr kick),38,24
10,4.0,Bengals,Boobie Clark 1 yard rush (Chris Bahr kick),45,24
