,Quarter,Tm,Detail,CRD,CHI
0,1.0,Cardinals,Tony Blazine 17 yard fumble return (Bill Smith kick),7,0
1,2.0,Cardinals,Doug Russell 1 yard rush,13,0
2,2.0,Bears,Bill Karr 14 yard pass from George Corbett (Jack Manders kick),13,7
3,3.0,Bears,Ray Nolting 3 yard rush,13,13
4,4.0,Bears,Jack Manders 15 yard field goal,13,16
