,Quarter,Time,Tm,Detail,JAX,HOU
0,1.0,12:25,Texans,Arian Foster 2 yard rush (Neil Rackers kick),0,7
1,1.0,4:15,Texans,Neil Rackers 26 yard field goal,0,10
2,2.0,14:54,Jaguars,Rashad Jennings 3 yard rush (Josh Scobee kick),7,10
3,2.0,12:53,Texans,Derrick Ward 35 yard rush (Neil Rackers kick),7,17
4,2.0,8:40,Jaguars,Josh Scobee 39 yard field goal,10,17
5,2.0,1:54,Jaguars,Marcedes Lewis 7 yard pass from Trent Edwards (Josh Scobee kick),17,17
6,2.0,0:00,Texans,Neil Rackers 33 yard field goal,17,20
7,3.0,3:47,Texans,Owen Daniels 5 yard pass from Matt Schaub (Neil Rackers kick),17,27
8,4.0,10:49,Texans,Arian Foster 35 yard rush (Neil Rackers kick),17,34
