,Quarter,Time,Tm,Detail,MIN,CHI
0,1.0,,Bears,Bobby Engram 5 yard pass from Erik Kramer (Carlos Huerta kick),0,7
1,2.0,,Vikings,Robert Smith 14 yard rush (Scott Sisson kick),7,7
2,2.0,8:20,Bears,Donnell Woolford 28 yard interception return (Carlos Huerta kick),7,14
3,2.0,8:20,Vikings,Jake Reed 29 yard pass from Warren Moon (Scott Sisson kick),14,14
4,4.0,8:20,Vikings,Scott Sisson 33 yard field goal,17,14
5,4.0,8:20,Vikings,Scott Sisson 34 yard field goal,20,14
