,Quarter,Tm,Detail,HOU,CLE
0,1.0,Browns,Matt Bahr 33 yard field goal,0,3
1,2.0,Oilers,Allen Pinkett 14 yard pass from Warren Moon (Tony Zendejas kick),7,3
2,2.0,Oilers,Allen Pinkett 16 yard rush (Tony Zendejas kick),14,3
3,2.0,Browns,Matt Bahr 26 yard field goal,14,6
4,2.0,Browns,Matt Bahr 28 yard field goal,14,9
5,3.0,Browns,Webster Slaughter 14 yard pass from Mike Pagel (Matt Bahr kick),14,16
6,4.0,Oilers,Lorenzo White 1 yard rush (Tony Zendejas kick),21,16
7,4.0,Oilers,Tony Zendejas 49 yard field goal,24,16
8,4.0,Browns,Webster Slaughter 2 yard pass from Mike Pagel (Matt Bahr kick),24,23
