,Quarter,Tm,Detail,DET,RAM
0,1.0,Rams,Johnny Kovatch 42 yard pass from Bob Snyder (Bob Snyder kick),0,7
1,2.0,Lions,Dutch Clark 17 yard field goal,3,7
2,2.0,Lions,Lloyd Cardwell 12 yard pass from Dutch Clark (Dutch Clark kick),10,7
3,3.0,Lions,Ace Gutowsky 1 yard rush (Monk Moscrip kick),17,7
4,4.0,Rams,Jim Benton 45 yard pass from Stan Pincura (Bob Snyder kick),17,14
5,4.0,Rams,Corby Davis 2 yard rush (Bob Snyder kick),17,21
