,Quarter,Time,Tm,Detail,TAM,DET
0,1.0,12:42,Lions,Jason Hanson 38 yard field goal,0,3
1,1.0,5:48,Buccaneers,Shaun King 6 yard rush (Martin Gramatica kick),7,3
2,1.0,0:36,Buccaneers,Mike Alstott 4 yard rush (Martin Gramatica kick),14,3
3,2.0,2:16,Buccaneers,Randall McDaniel 2 yard pass from Shaun King (Martin Gramatica kick),21,3
4,2.0,0:00,Lions,Germane Crowell 50 yard pass from Charlie Batch (Jason Hanson kick),21,10
5,3.0,5:29,Buccaneers,Martin Gramatica 24 yard field goal,24,10
6,4.0,5:39,Buccaneers,Warrick Dunn 1 yard rush (Martin Gramatica kick),31,10
