,Quarter,Time,Tm,Detail,TEN,CLE
0,1.0,4:01,Browns,Dennis Northcutt 58 yard pass from Trent Dilfer (Phil Dawson kick),0,7
1,2.0,1:24,Titans,Erron Kinney 24 yard pass from Steve McNair (Rob Bironas kick),7,7
2,3.0,12:09,Browns,Phil Dawson 37 yard field goal,7,10
3,3.0,6:12,Browns,Jason Wright 6 yard rush (Phil Dawson kick),7,17
4,4.0,13:35,Browns,Phil Dawson 19 yard field goal,7,20
5,4.0,7:13,Titans,Chris Brown 15 yard rush (Rob Bironas kick),14,20
