,Quarter,Tm,Detail,KAN,CIN
0,1.0,Chiefs,Tony Reed 1 yard rush (Jan Stenerud kick),7,0
1,2.0,Bengals,Don Bass special teams fumble recovery in end zone,7,6
2,2.0,Chiefs,Ted McKnight 26 yard rush (Jan Stenerud kick),14,6
3,2.0,Bengals,Chris Bahr 42 yard field goal,14,9
4,2.0,Chiefs,Jan Stenerud 19 yard field goal,17,9
5,3.0,Chiefs,Arnold Morgado 4 yard rush (Jan Stenerud kick),24,9
6,4.0,Bengals,Archie Griffin 26 yard pass from John Reaves (Chris Bahr kick),24,16
7,4.0,Bengals,Scott Perry 25 yard blocked punt return (Chris Bahr kick),24,23
